value,label
1636,"ABARROTES Y MERCANCÍAS MIXTAS"
1638,ACUMULADORES
1641,AGUAS
1642,"ALFOMBRAS Y TAPICES"
1644,"ALIMENTO PARA ANIMALES"
1646,ANIMALES
1648,"AUTOBUSES, AUTOMÓVILES, AVIONES, BICICLETAS,CAMIONES, MAQ. AGRÍCOLA, MAQ. DE CONSTRUCCIÓN Y MOTOCICLETAS"
1658,BILLARES
1659,BOLICHES
1661,"BOTICA O FARMACIA"
1662,"BROCHAS Y PINCELES Y ESCOBAS"
1663,CAFÉ
1666,"CARNES Y SUS DERIVADOS"
1669,"CEMENTO, CAL, YESO"
1687,"CENTROS DEPORTIVOS"
1671,"CERÁMICA, BARRO, LOZA Y PORCELANA, ARTESANIAS"
1678,"COLORES, PINTURAS, TINTAS Y LACAS"
33142,"Condominios de uso Mixto"
1680,"CONSERVAS ALIMENTICIAS"
1682,"CRISTAL Y VIDRIO"
1684,"CUEROS Y PIELES"
1686,"DEPORTES ARTÍCULOS DE"
1689,"DETERGENTES Y JABONES"
1690,DULCES
1693,ELECTRICIDAD
1694,"ELECTRÓNICA ARTÍCULOS DE"
1695,"ESCUELAS (NO CORRECCIONALES)"
1697,FERRETERÍAS
1701,"FLORES NATURALES"
1702,"FOTOGRAFÍA, FOTOSTATICAS, PELÍCULAS"
1703,FRITURAS
1705,"HABITACIONES PARTICULARES"
1707,"HELADOS, NIEVES Y HIELO"
1708,"HOSPITALES, SANATORIOS Y CONSULTORIOS MEDICOS"
1709,"HOTELES, CAMPOS DE TURISTAS Y MOTELES"
1711,"IGLESIAS, TEMPLOS Y VELATORIOS"
1712,"IMPRENTA, LITOGRAFÍA, ENCUADERNACIÓN Y LIBRERÍA"
1715,"INSTRUMENTOS MUSICALES"
1716,JUGUETERÍA
1717,"LABORATORIO CLÍNICO"
1718,"LAVANDERÍAS, PLANCHADURIAS Y TINTORERÍAS"
1719,"LECHE Y SUS DERIVADOS"
1720,"LIBROS, PERIÓDICOS Y REVISTAS"
1721,"MADERA, ARTÍCULOS DE"
1722,"MATERIAL PARA CONSTRUCCIÓN"
1724,"MEDICOS, MUEBLES E INSTRUMENTAL"
1725,"METALES NO PRECIOSOS"
1726,"MIEL DE ABEJA"
1730,MUEBLERÍA
1729,OFICINAS
1733,"ÓPTICA, ARTÍCULOS DE"
1735,"PAN, PASTAS ALIMENTICIAS, GALLETAS, TORTILLAS Y SIMILARES"
1737,"PAPELERÍA Y ARTÍCULOS DE ESCRITORIO"
1739,"PELUQUERÍAS Y SALONES DE BELLEZA"
1740,"PERFUMES Y ARTÍCULOS DE TOCADOR"
1741,"PINTURA Y TALLER ARTÍSTICO"
1746,"REFRIGERADORA O CONGELADORA PLANTA O EMPACADORA"
1748,"RESTAURANTES, BARES, CANTINAS, CENTROS NOCTURNOS Y DISCOTECAS"
1749,"ROPA BONETERÍA Y MERCERÍA"
1751,TABACO
1753,"TELÉFONO, TELEGRAFO Y CORREO"
1755,TEXTILES
1758,TLAPALERIAS
1760,ZAPATERÍAS
